person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
31,14406.0,RENT,,HOMEIMPROVEMENT,D,20013.0,18.73,1.39,N,25.0,0
41,61761.0,OTHER,,PERSONAL,G,7802.0,14.74,0.13,N,18.0,0
63,104538.0,RENT,10.0,EDUCATION,A,6545.0,11.75,0.06,Y,18.0,0
44,104218.0,OTHER,10.0,HOMEIMPROVEMENT,D,2461.0,7.56,0.02,N,25.0,0
46,72347.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,16210.0,16.26,0.22,N,5.0,0
61,83127.0,OTHER,1.0,EDUCATION,G,7882.0,,0.09,N,23.0,0
47,13119.0,RENT,8.0,VENTURE,A,4654.0,18.18,0.35,N,5.0,0
35,68935.0,MORTGAGE,,DEBTCONSOLIDATION,C,17874.0,,0.26,N,27.0,0
34,68327.0,OTHER,5.0,MEDICAL,D,916.0,13.43,0.01,N,17.0,1
63,62749.0,OTHER,8.0,EDUCATION,B,12093.0,22.72,0.19,N,2.0,0
22,69094.0,OTHER,7.0,VENTURE,A,24555.0,6.15,0.36,N,29.0,0
56,97409.0,OWN,0.0,PERSONAL,B,2880.0,15.69,0.03,N,22.0,0
26,111815.0,MORTGAGE,8.0,MEDICAL,G,2145.0,20.15,0.02,N,14.0,1
40,112132.0,OWN,8.0,HOMEIMPROVEMENT,G,21830.0,9.06,0.19,N,22.0,0
28,92485.0,MORTGAGE,3.0,PERSONAL,F,28570.0,14.61,0.31,N,9.0,0
58,17651.0,OTHER,0.0,PERSONAL,G,19039.0,,1.08,N,29.0,0
37,36896.0,OTHER,3.0,DEBTCONSOLIDATION,E,28755.0,14.24,0.78,N,22.0,0
23,107196.0,RENT,5.0,EDUCATION,F,29447.0,15.84,0.27,N,10.0,0
44,117396.0,OTHER,3.0,EDUCATION,F,1801.0,6.54,0.02,N,11.0,1
33,20370.0,OWN,8.0,EDUCATION,A,18859.0,20.9,0.93,N,14.0,1
28,54552.0,OWN,3.0,PERSONAL,D,8587.0,5.56,0.16,N,24.0,0
45,111075.0,OTHER,9.0,VENTURE,F,7451.0,14.53,0.07,N,12.0,0
21,16777.0,OWN,7.0,DEBTCONSOLIDATION,B,5827.0,13.87,0.35,N,22.0,0
39,10113.0,OTHER,1.0,DEBTCONSOLIDATION,F,24380.0,6.93,2.41,Y,2.0,0
47,10531.0,RENT,,PERSONAL,G,10374.0,9.51,0.99,N,17.0,1
26,19714.0,RENT,6.0,EDUCATION,G,20808.0,18.36,1.06,N,17.0,1
63,13410.0,OTHER,7.0,HOMEIMPROVEMENT,B,8779.0,21.38,0.65,N,12.0,0
27,84772.0,RENT,5.0,VENTURE,D,10353.0,8.41,0.12,N,20.0,0
54,34608.0,OTHER,9.0,EDUCATION,C,25069.0,22.5,0.72,N,7.0,0
33,18324.0,OWN,5.0,DEBTCONSOLIDATION,E,20616.0,8.61,1.13,N,3.0,0
36,86695.0,OTHER,7.0,VENTURE,D,18935.0,16.37,0.22,Y,20.0,0
55,44494.0,MORTGAGE,2.0,MEDICAL,B,948.0,17.02,0.02,N,28.0,0
59,64222.0,MORTGAGE,1.0,MEDICAL,A,19662.0,17.41,0.31,Y,6.0,1
23,50985.0,OTHER,8.0,PERSONAL,F,30535.0,18.93,0.6,N,27.0,0
21,107643.0,OTHER,7.0,MEDICAL,E,8931.0,15.32,0.08,N,25.0,0
25,45416.0,OTHER,9.0,HOMEIMPROVEMENT,D,13747.0,5.91,0.3,Y,28.0,0
61,107371.0,RENT,4.0,DEBTCONSOLIDATION,B,4679.0,14.85,0.04,N,12.0,1
23,55600.0,MORTGAGE,4.0,DEBTCONSOLIDATION,E,14617.0,20.25,0.26,N,8.0,1
48,19453.0,OTHER,5.0,MEDICAL,C,14719.0,15.68,0.76,Y,23.0,0
37,110369.0,OTHER,5.0,PERSONAL,F,4679.0,8.21,0.04,N,23.0,0
45,37921.0,OWN,1.0,PERSONAL,F,33534.0,9.08,0.88,N,8.0,0
63,76469.0,OWN,6.0,VENTURE,F,32082.0,14.25,0.42,N,18.0,0
53,106544.0,RENT,2.0,MEDICAL,G,27756.0,7.59,0.26,N,25.0,0
29,76586.0,RENT,7.0,MEDICAL,E,34473.0,7.71,0.45,N,14.0,0
55,35392.0,MORTGAGE,8.0,HOMEIMPROVEMENT,F,12175.0,15.67,0.34,Y,13.0,0
33,42177.0,MORTGAGE,2.0,DEBTCONSOLIDATION,D,10780.0,,0.26,Y,5.0,0
50,65182.0,OTHER,5.0,MEDICAL,A,7964.0,9.75,0.12,N,15.0,0
34,115420.0,MORTGAGE,7.0,EDUCATION,B,27796.0,13.74,0.24,N,6.0,0
27,68081.0,OTHER,5.0,PERSONAL,D,2691.0,11.17,0.04,N,14.0,0
33,98387.0,RENT,9.0,HOMEIMPROVEMENT,A,33856.0,18.49,0.34,N,8.0,0
42,21106.0,RENT,2.0,PERSONAL,B,13960.0,,0.66,N,27.0,0
59,62754.0,RENT,3.0,HOMEIMPROVEMENT,G,16739.0,16.05,0.27,N,19.0,1
40,16878.0,OWN,8.0,HOMEIMPROVEMENT,D,21381.0,14.89,1.27,Y,16.0,0
35,10792.0,MORTGAGE,,VENTURE,C,14651.0,19.88,1.36,Y,27.0,0
64,21367.0,RENT,,MEDICAL,A,28799.0,8.64,1.35,Y,3.0,0
37,48731.0,RENT,10.0,PERSONAL,A,10174.0,20.57,0.21,N,24.0,0
43,19547.0,RENT,,MEDICAL,E,19939.0,7.55,1.02,N,9.0,0
45,109689.0,MORTGAGE,0.0,DEBTCONSOLIDATION,C,3507.0,16.17,0.03,Y,16.0,1
44,38568.0,MORTGAGE,3.0,PERSONAL,G,1830.0,14.24,0.05,Y,23.0,0
64,72907.0,OWN,9.0,MEDICAL,B,23996.0,12.34,0.33,Y,27.0,0
60,60212.0,OWN,0.0,MEDICAL,G,28984.0,14.83,0.48,N,6.0,0
48,52331.0,OWN,7.0,HOMEIMPROVEMENT,E,19262.0,10.06,0.37,N,24.0,1
34,74379.0,OWN,6.0,VENTURE,C,29059.0,12.57,0.39,N,6.0,0
64,99843.0,RENT,6.0,PERSONAL,F,34876.0,6.06,0.35,Y,21.0,0
20,14138.0,OTHER,1.0,EDUCATION,D,10651.0,23.17,0.75,N,8.0,0
44,57112.0,OWN,9.0,HOMEIMPROVEMENT,F,17393.0,7.03,0.3,N,29.0,0
26,83229.0,OTHER,5.0,PERSONAL,A,2340.0,,0.03,Y,23.0,0
28,21394.0,RENT,7.0,DEBTCONSOLIDATION,E,8032.0,11.73,0.38,N,12.0,1
43,99412.0,RENT,7.0,MEDICAL,G,21093.0,18.51,0.21,Y,6.0,1
20,49095.0,MORTGAGE,4.0,PERSONAL,A,20410.0,11.51,0.42,N,5.0,1
63,13353.0,OTHER,7.0,MEDICAL,C,10650.0,22.3,0.8,N,15.0,0
27,56132.0,OTHER,1.0,VENTURE,A,27900.0,8.04,0.5,N,18.0,0
43,75064.0,RENT,3.0,VENTURE,E,11214.0,11.72,0.15,N,6.0,0
30,65121.0,MORTGAGE,9.0,PERSONAL,D,3869.0,22.85,0.06,N,28.0,0
36,25205.0,OWN,1.0,VENTURE,E,21062.0,8.4,0.84,N,24.0,1
27,14628.0,OWN,4.0,HOMEIMPROVEMENT,B,28839.0,15.21,1.97,Y,7.0,0
54,62600.0,MORTGAGE,10.0,MEDICAL,A,21135.0,5.99,0.34,N,26.0,0
54,105526.0,MORTGAGE,2.0,DEBTCONSOLIDATION,E,22437.0,21.17,0.21,N,21.0,0
52,48095.0,OWN,5.0,HOMEIMPROVEMENT,E,3045.0,9.96,0.06,N,6.0,0
24,103159.0,RENT,6.0,PERSONAL,D,17985.0,12.74,0.17,Y,17.0,0
61,68844.0,RENT,5.0,DEBTCONSOLIDATION,A,16130.0,12.43,0.23,N,6.0,1
58,57049.0,MORTGAGE,10.0,VENTURE,A,13318.0,9.55,0.23,N,9.0,0
60,31433.0,RENT,1.0,VENTURE,G,22807.0,17.82,0.73,Y,22.0,0
47,85594.0,RENT,1.0,MEDICAL,B,15012.0,15.18,0.18,N,12.0,0
26,102060.0,OTHER,3.0,HOMEIMPROVEMENT,C,4520.0,9.65,0.04,N,25.0,0
28,22093.0,OWN,6.0,HOMEIMPROVEMENT,C,13127.0,21.52,0.59,Y,3.0,1
27,26684.0,MORTGAGE,7.0,PERSONAL,A,5259.0,12.79,0.2,N,15.0,0
31,104234.0,OWN,4.0,HOMEIMPROVEMENT,G,32538.0,,0.31,N,13.0,0
53,70321.0,OTHER,9.0,PERSONAL,E,18223.0,,0.26,N,11.0,0
52,94520.0,RENT,0.0,EDUCATION,G,25139.0,6.64,0.27,Y,6.0,1
42,61305.0,RENT,8.0,MEDICAL,C,31563.0,,0.51,Y,29.0,0
43,72025.0,OTHER,7.0,PERSONAL,C,5163.0,19.89,0.07,Y,15.0,0
56,24907.0,OWN,0.0,DEBTCONSOLIDATION,E,6255.0,19.69,0.25,N,6.0,0
54,64057.0,OTHER,8.0,VENTURE,B,21764.0,18.64,0.34,Y,17.0,0
63,22921.0,RENT,4.0,DEBTCONSOLIDATION,F,14697.0,,0.64,N,23.0,0
59,95938.0,RENT,7.0,HOMEIMPROVEMENT,B,15427.0,10.03,0.16,N,15.0,0
41,56794.0,OWN,9.0,VENTURE,F,32589.0,22.15,0.57,N,10.0,0
46,78618.0,RENT,9.0,MEDICAL,A,954.0,,0.01,N,2.0,0
54,82610.0,OWN,,PERSONAL,C,18578.0,15.14,0.22,N,29.0,1
20,39330.0,MORTGAGE,1.0,VENTURE,E,25612.0,15.36,0.65,N,28.0,1
54,27623.0,RENT,6.0,MEDICAL,B,16220.0,13.31,0.59,N,27.0,1
56,70277.0,RENT,8.0,DEBTCONSOLIDATION,E,33681.0,18.15,0.48,N,11.0,0
33,118864.0,OWN,6.0,VENTURE,A,34485.0,11.14,0.29,N,7.0,0
22,10459.0,MORTGAGE,8.0,HOMEIMPROVEMENT,A,29415.0,11.4,2.81,N,25.0,1
20,75037.0,RENT,3.0,PERSONAL,B,32555.0,6.88,0.43,N,19.0,0
24,62915.0,RENT,4.0,HOMEIMPROVEMENT,C,21343.0,23.12,0.34,Y,6.0,0
45,66172.0,MORTGAGE,6.0,DEBTCONSOLIDATION,G,11950.0,16.83,0.18,Y,2.0,0
33,78337.0,RENT,0.0,MEDICAL,G,24272.0,14.92,0.31,N,29.0,0
58,38831.0,OWN,1.0,DEBTCONSOLIDATION,E,28014.0,6.83,0.72,N,4.0,0
46,26847.0,MORTGAGE,1.0,VENTURE,C,28316.0,10.49,1.05,N,14.0,0
28,10997.0,MORTGAGE,9.0,HOMEIMPROVEMENT,G,17631.0,15.41,1.6,N,29.0,1
34,32025.0,OTHER,8.0,HOMEIMPROVEMENT,B,17374.0,18.37,0.54,N,23.0,1
34,107915.0,RENT,2.0,EDUCATION,A,16485.0,15.56,0.15,Y,26.0,0
45,74784.0,MORTGAGE,8.0,EDUCATION,A,5185.0,22.57,0.07,N,17.0,0
61,16384.0,MORTGAGE,0.0,PERSONAL,F,2086.0,10.04,0.13,N,9.0,0
32,88759.0,MORTGAGE,10.0,MEDICAL,G,2324.0,20.28,0.03,N,15.0,0
51,58067.0,OTHER,2.0,PERSONAL,B,25693.0,18.16,0.44,Y,21.0,0
58,21198.0,RENT,9.0,VENTURE,F,8049.0,6.51,0.38,N,14.0,0
51,44446.0,MORTGAGE,1.0,MEDICAL,A,4586.0,11.68,0.1,N,16.0,0
23,109168.0,RENT,1.0,EDUCATION,D,2621.0,23.19,0.02,N,21.0,0
49,19382.0,MORTGAGE,0.0,DEBTCONSOLIDATION,A,29391.0,,1.52,N,18.0,0
56,34120.0,OWN,5.0,DEBTCONSOLIDATION,D,18103.0,7.97,0.53,N,24.0,0
42,45465.0,MORTGAGE,4.0,VENTURE,G,6011.0,15.75,0.13,Y,24.0,0
58,36950.0,MORTGAGE,,VENTURE,D,2708.0,19.02,0.07,Y,8.0,1
64,105504.0,OTHER,4.0,MEDICAL,D,22688.0,5.91,0.22,N,5.0,0
34,78462.0,MORTGAGE,10.0,EDUCATION,F,28891.0,10.07,0.37,N,20.0,0
62,25735.0,OWN,8.0,DEBTCONSOLIDATION,G,15847.0,13.62,0.62,N,21.0,1
48,24223.0,MORTGAGE,5.0,MEDICAL,C,1886.0,17.57,0.08,N,9.0,1
55,115846.0,OWN,8.0,HOMEIMPROVEMENT,B,5651.0,11.15,0.05,N,17.0,0
32,112733.0,OWN,3.0,HOMEIMPROVEMENT,B,5140.0,14.8,0.05,N,9.0,0
51,25362.0,OWN,6.0,HOMEIMPROVEMENT,B,4888.0,12.73,0.19,N,13.0,0
26,49986.0,OTHER,10.0,MEDICAL,F,16709.0,,0.33,N,2.0,0
41,33409.0,RENT,3.0,MEDICAL,F,8499.0,17.49,0.25,Y,21.0,0
47,77933.0,RENT,0.0,PERSONAL,G,27717.0,17.79,0.36,Y,29.0,1
21,89987.0,OWN,3.0,MEDICAL,D,25360.0,8.9,0.28,N,29.0,1
61,15814.0,OTHER,1.0,HOMEIMPROVEMENT,D,5486.0,12.12,0.35,N,16.0,0
64,32888.0,OTHER,4.0,MEDICAL,D,9579.0,10.38,0.29,Y,9.0,0
25,83058.0,RENT,10.0,HOMEIMPROVEMENT,A,17468.0,11.72,0.21,N,14.0,0
47,32169.0,OWN,1.0,HOMEIMPROVEMENT,G,22951.0,11.71,0.71,N,28.0,0
47,69126.0,RENT,1.0,MEDICAL,F,15763.0,6.16,0.23,N,22.0,0
63,95918.0,RENT,,MEDICAL,E,17471.0,20.17,0.18,Y,19.0,0
63,91124.0,OTHER,10.0,PERSONAL,E,594.0,12.84,0.01,N,19.0,1
39,55127.0,OTHER,,VENTURE,A,11764.0,21.44,0.21,N,22.0,0
49,25762.0,MORTGAGE,3.0,HOMEIMPROVEMENT,G,24531.0,17.1,0.95,N,5.0,1
30,25577.0,OTHER,6.0,PERSONAL,E,23382.0,21.8,0.91,N,17.0,0
47,30931.0,OTHER,2.0,MEDICAL,E,22729.0,21.92,0.73,N,11.0,0
44,70302.0,RENT,10.0,VENTURE,F,21119.0,6.0,0.3,N,21.0,0
58,85506.0,OTHER,,PERSONAL,G,24085.0,13.42,0.28,N,18.0,1
52,49278.0,OTHER,6.0,EDUCATION,C,13175.0,9.57,0.27,N,25.0,1
20,68169.0,RENT,10.0,EDUCATION,E,26433.0,11.32,0.39,N,26.0,0
46,95581.0,OTHER,8.0,MEDICAL,A,26513.0,8.33,0.28,N,22.0,0
32,91455.0,OTHER,2.0,MEDICAL,D,32096.0,5.97,0.35,N,21.0,0
60,72775.0,MORTGAGE,3.0,DEBTCONSOLIDATION,C,25383.0,11.96,0.35,N,26.0,0
22,119865.0,OWN,0.0,EDUCATION,E,34016.0,18.92,0.28,N,12.0,0
58,103207.0,MORTGAGE,6.0,VENTURE,G,17809.0,21.79,0.17,N,11.0,0
25,85885.0,OTHER,0.0,VENTURE,G,28077.0,15.05,0.33,N,23.0,0
27,59203.0,RENT,,HOMEIMPROVEMENT,A,10477.0,,0.18,N,20.0,0
46,16058.0,RENT,2.0,HOMEIMPROVEMENT,B,21200.0,13.16,1.32,N,22.0,0
28,119857.0,OWN,8.0,DEBTCONSOLIDATION,B,2213.0,18.02,0.02,N,8.0,0
56,79051.0,RENT,,EDUCATION,F,30145.0,,0.38,N,24.0,0
52,78866.0,OTHER,4.0,PERSONAL,F,16801.0,9.26,0.21,N,9.0,0
61,109978.0,MORTGAGE,9.0,PERSONAL,C,23612.0,,0.21,N,27.0,0
63,65180.0,OWN,9.0,VENTURE,F,4378.0,19.61,0.07,N,6.0,0
43,53825.0,MORTGAGE,10.0,PERSONAL,F,24543.0,18.79,0.46,N,29.0,0
34,93281.0,RENT,1.0,MEDICAL,G,31281.0,15.37,0.34,N,8.0,0
51,84514.0,OTHER,8.0,MEDICAL,B,14102.0,16.67,0.17,N,26.0,0
51,92475.0,OWN,5.0,DEBTCONSOLIDATION,A,10381.0,17.33,0.11,N,2.0,0
43,25264.0,RENT,8.0,PERSONAL,F,20741.0,21.83,0.82,N,19.0,0
60,36615.0,RENT,,DEBTCONSOLIDATION,B,10760.0,8.23,0.29,N,24.0,1
31,42165.0,MORTGAGE,10.0,EDUCATION,B,15212.0,15.53,0.36,N,27.0,1
58,52722.0,RENT,3.0,PERSONAL,E,31079.0,14.2,0.59,N,8.0,0
21,44880.0,MORTGAGE,5.0,VENTURE,A,24348.0,9.42,0.54,Y,16.0,0
22,94130.0,RENT,,VENTURE,A,18439.0,23.08,0.2,Y,19.0,0
56,91059.0,MORTGAGE,6.0,EDUCATION,A,5910.0,19.54,0.06,N,5.0,0
36,11701.0,MORTGAGE,10.0,MEDICAL,G,22440.0,10.42,1.92,N,21.0,0
21,69430.0,OTHER,5.0,MEDICAL,F,2971.0,19.57,0.04,N,21.0,0
21,108294.0,OWN,3.0,MEDICAL,F,11254.0,9.83,0.1,Y,9.0,0
47,111016.0,OWN,7.0,PERSONAL,D,18044.0,10.41,0.16,Y,26.0,0
42,65615.0,OTHER,5.0,DEBTCONSOLIDATION,A,19463.0,21.25,0.3,N,10.0,0
56,102519.0,RENT,1.0,EDUCATION,E,8060.0,21.49,0.08,N,5.0,0
51,110620.0,RENT,,HOMEIMPROVEMENT,B,5009.0,,0.05,N,27.0,0
52,49237.0,OWN,5.0,PERSONAL,B,7557.0,23.13,0.15,N,24.0,1
20,44378.0,MORTGAGE,0.0,VENTURE,B,5969.0,,0.13,N,17.0,1
38,30736.0,MORTGAGE,8.0,DEBTCONSOLIDATION,A,26626.0,,0.87,N,29.0,0
21,16343.0,OWN,9.0,DEBTCONSOLIDATION,A,32376.0,13.68,1.98,N,27.0,0
63,25797.0,OWN,,PERSONAL,G,30860.0,16.14,1.2,N,15.0,1
45,63857.0,OTHER,6.0,VENTURE,G,30483.0,16.28,0.48,Y,23.0,0
51,117623.0,RENT,7.0,DEBTCONSOLIDATION,C,22367.0,16.63,0.19,N,3.0,0
25,97411.0,MORTGAGE,,PERSONAL,G,32330.0,10.94,0.33,N,16.0,0
51,51864.0,OTHER,10.0,VENTURE,F,23300.0,6.32,0.45,N,22.0,1
23,51123.0,OWN,3.0,HOMEIMPROVEMENT,C,14006.0,11.52,0.27,N,9.0,1
30,84864.0,OTHER,7.0,PERSONAL,C,32631.0,18.16,0.38,N,23.0,0
36,113014.0,OTHER,,HOMEIMPROVEMENT,D,20644.0,12.14,0.18,N,16.0,1
57,77561.0,MORTGAGE,0.0,VENTURE,C,31518.0,14.79,0.41,Y,22.0,1
43,10105.0,OTHER,10.0,EDUCATION,G,4290.0,22.98,0.42,N,23.0,0
24,104906.0,MORTGAGE,3.0,HOMEIMPROVEMENT,E,4078.0,18.34,0.04,N,13.0,0
53,96379.0,OWN,5.0,MEDICAL,A,30686.0,21.83,0.32,N,27.0,0
25,29476.0,MORTGAGE,9.0,PERSONAL,F,25407.0,12.21,0.86,N,10.0,0
41,74147.0,RENT,6.0,PERSONAL,D,6374.0,15.34,0.09,N,23.0,1
30,118517.0,OWN,,PERSONAL,E,14251.0,9.26,0.12,N,6.0,0
35,52112.0,MORTGAGE,2.0,PERSONAL,B,29141.0,12.86,0.56,Y,20.0,0
52,58610.0,OWN,9.0,EDUCATION,G,13118.0,9.64,0.22,N,6.0,0
28,76234.0,OTHER,9.0,HOMEIMPROVEMENT,C,24236.0,15.06,0.32,N,29.0,0
25,103979.0,OWN,1.0,MEDICAL,C,23380.0,15.81,0.22,Y,6.0,1
35,54230.0,MORTGAGE,8.0,HOMEIMPROVEMENT,G,24216.0,8.57,0.45,N,8.0,0
48,51706.0,OTHER,0.0,MEDICAL,A,16167.0,20.83,0.31,Y,22.0,0
22,114375.0,RENT,9.0,DEBTCONSOLIDATION,E,30351.0,8.95,0.27,N,12.0,0
39,97659.0,OWN,0.0,EDUCATION,E,18774.0,13.13,0.19,N,18.0,1
55,75032.0,MORTGAGE,9.0,MEDICAL,F,24511.0,,0.33,N,15.0,0
38,51920.0,OWN,1.0,MEDICAL,F,25563.0,,0.49,N,23.0,0
45,29875.0,OWN,4.0,VENTURE,F,33366.0,14.11,1.12,N,27.0,1
22,78833.0,MORTGAGE,0.0,HOMEIMPROVEMENT,F,10073.0,16.23,0.13,Y,27.0,1
38,62129.0,RENT,5.0,VENTURE,C,8481.0,6.74,0.14,N,10.0,0
39,75744.0,MORTGAGE,7.0,EDUCATION,C,28371.0,,0.37,N,7.0,1
51,29700.0,OWN,9.0,EDUCATION,E,21536.0,11.46,0.73,N,17.0,0
26,97327.0,RENT,1.0,MEDICAL,G,30971.0,6.83,0.32,N,16.0,0
60,82769.0,RENT,4.0,VENTURE,E,1134.0,17.75,0.01,N,16.0,1
52,11891.0,RENT,2.0,VENTURE,B,24346.0,21.49,2.05,Y,29.0,0
59,68520.0,RENT,1.0,MEDICAL,C,34921.0,18.05,0.51,N,19.0,0
58,57594.0,OWN,5.0,MEDICAL,C,1119.0,15.98,0.02,N,4.0,0
37,111810.0,MORTGAGE,0.0,DEBTCONSOLIDATION,G,10678.0,22.25,0.1,N,18.0,1
59,74190.0,MORTGAGE,,PERSONAL,G,11094.0,12.32,0.15,N,5.0,0
20,12039.0,OTHER,7.0,HOMEIMPROVEMENT,E,29084.0,5.73,2.42,N,21.0,0
30,29673.0,OTHER,5.0,EDUCATION,F,10303.0,6.91,0.35,Y,13.0,0
47,52412.0,OTHER,3.0,EDUCATION,F,16703.0,21.64,0.32,Y,28.0,0
44,114949.0,RENT,,DEBTCONSOLIDATION,A,25142.0,22.71,0.22,N,6.0,0
42,38436.0,RENT,4.0,VENTURE,E,24191.0,6.48,0.63,N,15.0,0
50,109921.0,MORTGAGE,1.0,HOMEIMPROVEMENT,C,24449.0,21.77,0.22,N,5.0,0
49,18186.0,RENT,7.0,PERSONAL,B,5468.0,8.33,0.3,N,7.0,0
61,73708.0,MORTGAGE,5.0,VENTURE,C,20436.0,,0.28,Y,27.0,0
54,10434.0,OTHER,5.0,DEBTCONSOLIDATION,D,9375.0,18.83,0.9,N,3.0,0
26,20519.0,MORTGAGE,2.0,DEBTCONSOLIDATION,G,6461.0,12.49,0.31,N,13.0,0
35,28030.0,RENT,0.0,DEBTCONSOLIDATION,G,12577.0,19.24,0.45,Y,7.0,0
45,86891.0,MORTGAGE,7.0,EDUCATION,F,2090.0,17.49,0.02,Y,3.0,0
21,65819.0,MORTGAGE,,EDUCATION,C,32938.0,22.01,0.5,N,16.0,0
20,89864.0,MORTGAGE,6.0,VENTURE,C,7098.0,13.25,0.08,N,24.0,1
31,15258.0,RENT,,HOMEIMPROVEMENT,C,30182.0,14.58,1.98,N,7.0,0
24,82726.0,OWN,0.0,MEDICAL,G,12748.0,19.13,0.15,N,12.0,0
56,98015.0,OTHER,,EDUCATION,E,26225.0,22.72,0.27,N,26.0,0
51,96363.0,OWN,7.0,HOMEIMPROVEMENT,A,28913.0,11.85,0.3,N,16.0,0
28,68277.0,OWN,9.0,PERSONAL,G,20895.0,22.1,0.31,N,20.0,1
60,55238.0,OWN,1.0,PERSONAL,C,33932.0,17.64,0.61,N,15.0,0
54,20747.0,OWN,10.0,PERSONAL,C,20374.0,,0.98,N,12.0,1
38,40917.0,RENT,7.0,DEBTCONSOLIDATION,C,28135.0,10.21,0.69,N,20.0,1
35,40377.0,RENT,4.0,VENTURE,C,698.0,18.18,0.02,N,21.0,0
22,54956.0,OWN,7.0,DEBTCONSOLIDATION,G,13796.0,12.98,0.25,Y,17.0,0
39,116017.0,OWN,10.0,PERSONAL,C,24349.0,12.81,0.21,N,26.0,0
43,108684.0,MORTGAGE,,PERSONAL,B,3081.0,8.3,0.03,Y,29.0,0
52,117320.0,MORTGAGE,5.0,DEBTCONSOLIDATION,F,30880.0,10.57,0.26,N,25.0,0
43,33557.0,OTHER,1.0,PERSONAL,E,14688.0,19.6,0.44,N,23.0,1
30,54335.0,OTHER,6.0,PERSONAL,E,15281.0,16.52,0.28,Y,18.0,1
27,109941.0,OTHER,10.0,VENTURE,C,18291.0,9.77,0.17,N,22.0,1
55,88015.0,MORTGAGE,10.0,PERSONAL,F,27520.0,19.83,0.31,N,12.0,0
57,99463.0,OWN,5.0,DEBTCONSOLIDATION,G,32241.0,22.34,0.32,N,4.0,0
59,43292.0,OWN,3.0,DEBTCONSOLIDATION,B,1669.0,12.97,0.04,Y,7.0,0
39,29491.0,OTHER,8.0,MEDICAL,D,11405.0,22.53,0.39,N,13.0,0
54,67294.0,OTHER,3.0,PERSONAL,D,10992.0,9.2,0.16,Y,13.0,0
44,76629.0,RENT,0.0,MEDICAL,B,16380.0,6.36,0.21,N,2.0,1
54,106544.0,OTHER,2.0,HOMEIMPROVEMENT,G,22990.0,6.17,0.22,N,3.0,0
44,75640.0,MORTGAGE,10.0,DEBTCONSOLIDATION,F,34863.0,16.93,0.46,Y,11.0,0
48,28123.0,MORTGAGE,7.0,MEDICAL,D,26535.0,17.64,0.94,N,28.0,0
37,102472.0,OTHER,2.0,HOMEIMPROVEMENT,E,29238.0,,0.29,N,16.0,0
